Abbr,AtomicVolume,AtomicWeight,BoilingT,Column,CovalentRadius,Density,DipolePolarizability,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSmagmom,HeatCapacityMass,HeatCapacityMolar,HeatFusion,MeltingT,MendeleevNumber,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,NUnfilled,NValence,Polarizability,Row,SpaceGroupNumber
Ra,75.0581202258386,226.0,2010.0,2.0,221.0,5000.0,38.3,0.0,0.9,5.278423,7.7,0.0,0.0,0.0,0.0,7.7,973.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,0.0,2.0,38.3,7.0,229.0
Ac,37.4330862969509,227.0,3473.0,3.0,215.0,10070.0,32.1,0.0,1.1,5.17,12.0,0.0,0.0,0.12,27.2,12.0,1323.0,14.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,89.0,9.0,3.0,32.1,7.0,225.0
Th,32.86568321477,232.03806,5093.0,3.0,206.0,11724.0,32.1,0.0,1.3,6.3067,13.81,0.0,0.0,0.118,27.32,13.81,2023.0,16.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,90.0,8.0,4.0,32.1,7.0,225.0
Pa,24.9611606283359,231.03586,4273.0,3.0,200.0,15370.0,25.4,0.0,1.5,5.89,12.34,0.0,0.0,0.0,0.0,12.34,1845.0,18.0,9.0,1.0,12.0,2.0,0.0,0.0,0.0,2.0,91.0,21.0,5.0,25.4,7.0,139.0
U,20.7488474020455,238.02891,4200.0,3.0,196.0,19050.0,24.9,0.0,1.38,6.1941,9.14,0.0,0.0,0.116,27.665,9.14,1408.0,20.0,9.0,1.0,11.0,3.0,0.0,0.0,0.0,2.0,92.0,20.0,6.0,24.9,7.0,63.0
Np,19.2448390132676,237.0,4273.0,3.0,190.0,20450.0,24.8,0.0,1.36,6.2657,3.2,0.0,0.0,0.0,0.0,3.2,917.0,22.0,9.0,1.0,10.0,4.0,0.0,0.0,0.0,2.0,93.0,19.0,7.0,24.8,7.0,62.0
Pu,20.4471640587929,244.0,3503.0,3.0,187.0,19816.0,24.5,0.0,1.28,6.026,2.824,0.0,0.3180036375,0.0,0.0,2.824,913.0,24.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,2.0,94.0,8.0,8.0,24.5,7.0,11.0
Am,29.5186850847065,243.0,2284.0,3.0,180.0,13670.0,23.3,0.0,1.3,5.9738,14.39,0.0,0.3180036375,0.0,0.0,14.39,1449.0,26.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2.0,95.0,7.0,9.0,23.3,7.0,194.0
Cm,30.3599360941782,247.0,3383.0,3.0,169.0,13510.0,23.0,0.0,1.3,5.9914,14.64,0.0,0.3180036375,0.0,0.0,14.64,1618.0,28.0,9.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0,96.0,16.0,10.0,23.0,7.0,194.0
Bk,27.751200042784,247.0,0.0,3.0,0.0,14780.0,22.7,0.0,1.3,6.1979,0.0,0.0,0.3180036375,0.0,0.0,0.0,1323.0,30.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,2.0,97.0,5.0,11.0,22.7,7.0,194.0
